ID,QUERY,L1_primary_intent,L2_information_need,L3_constraints,reasoning,in_subset_30
11,Find small home organization products that have recently started trending on social media (like TikTok) but whose supplier prices are still decreasing.,product_discovery,trending_analysis|platform_data|price_comparison,,"The main goal is to find (discover) small home organization products that are newly trending on social media platforms like TikTok, which fits 'product_discovery'. The user needs information on trending products ('trending_analysis'), specifically on social platforms ('platform_data'), and wants to know about supplier prices that are decreasing ('price_comparison'). No explicit constraints such as certification, MOQ, region, etc. are mentioned.",0
12,"I'm looking for low-cost, high-volume products suitable for live stream shopping. The unit price should be under $1, and the product should show a clear upward trend in search interest recently.",product_discovery,trending_analysis|price_comparison,moq_price_constraint,"The user is seeking to discover products (product_discovery) that are low-cost and high-volume, suitable for live stream shopping. They specifically ask for items with a clear upward trend (trending_analysis) and a unit price under $1 (price_comparison). The price limit is a clear constraint (moq_price_constraint). No other explicit constraints such as certification, region, or customization are mentioned.",0
13,"Analyze which seasonal products (e.g., summer cooling sprays, winter hand warmers) are currently in their production off-season with lower supplier quotes, but are expected to see a rise in demand in the next 3-6 months.",product_discovery,trending_analysis|price_comparison,,"The main goal is to discover which seasonal products are currently in their off-season (product_discovery). The user needs analysis of rising demand in the coming months (trending_analysis) and information about lower supplier quotes during the off-season (price_comparison). No explicit constraints such as certifications, MOQ, logistics, customization, region, or quality are mentioned.",0
14,"Build a pet travel starter kit including a foldable carrier, spill-proof water bottle, and treat pouch. Prioritize lightweight, airline-approved designs, match small moq products and send inquiry.",product_development,,moq_price_constraint|logistics_shipping|quality_specification,"The query is focused on building (developing) a new bundled product (pet travel starter kit) with specific components and design requirements. There is no explicit request for trending data, sales data, reviews, competitor or price analysis, or supplier evaluation, so no L2 labels apply. Constraints are present: small MOQ (moq_price_constraint), lightweight and airline-approved designs (quality_specification), and suitability for air travel (logistics_shipping).",0
15,Give me the complete kitchenware products list that are hot selling on amazon and they are unique to find,product_discovery,sales_data|platform_data|trending_analysis,,"The query asks for a list of kitchenware products that are 'hot selling' (sales_data), specifically on Amazon (platform_data), and that are 'unique to find' (implying an interest in trending or less common products, i.e., trending_analysis). The main intent is to discover products, not suppliers or market analysis. No explicit constraints like certifications, MOQ, region, or customization are mentioned.",0
16,"Give me a comprehensive list of at least 80 hot-selling and uniquely designed kitchenware products (such as cooking pots, pans, bowls, etc.) that are currently popular on Amazon.",product_discovery,trending_analysis|platform_data,,"The user wants a comprehensive list of hot-selling and uniquely designed kitchenware products, indicating an intent to discover products (product_discovery). They specifically request products that are currently popular (trending_analysis) and mention Amazon as the source (platform_data). No explicit constraints such as certifications, price, region, or customization are mentioned.",0
17,"Identify the top 5 best-selling women's footwear styles in the last 6 months based on consumer reviews and sales data. For each style, recommend a list of white-label manufacturers with low MOQs and send inquiry.",product_discovery,sales_data|review_analysis|supplier_evaluation,moq_price_constraint,"The main goal is to discover the top-selling women's footwear styles (product_discovery) using sales data and consumer reviews (sales_data, review_analysis). The user also requests recommendations for white-label manufacturers, which involves evaluating suppliers (supplier_evaluation). There is a clear constraint for low MOQs (moq_price_constraint).",0
18,"I am currently selling this product (https://www.intervine.com/products/guardian-lte-tactical-flashlight), which has been well liked by our customers. However, it is going out of stock soon and the high cost from manufacturers and the new tariff make it no longer a profitable business for me. Please help me find alternative manufacturer who can produce a similar LED flashlight with a lower prize while maintaining the performance and feature as much as possible. In addition, what are some other features that I should consider that customers are interested in?",supplier_sourcing,supplier_evaluation|price_comparison|review_analysis,moq_price_constraint|quality_specification,"The main goal is to find an alternative manufacturer for a similar LED flashlight at a lower cost, which is supplier sourcing. Information needs include evaluating suppliers (supplier_evaluation), comparing prices due to profitability concerns (price_comparison), and understanding desirable features from the customer perspective (review_analysis). Constraints include price (lower cost, profitability) and maintaining performance/features (quality_specification).",1
19,"I am looking for original wrist watch manufacturers only (not traders or resellers). Please show me verified factories with direct production capabilities, OEM/ODM options, and MOQ flexibility for new businesses. Prefer suppliers with export experience to Pakistan.",supplier_sourcing,supplier_evaluation,customization_oem|moq_price_constraint|region_specific,"The main goal is to find original wrist watch manufacturers (not traders/resellers), which is supplier sourcing. The user requests verified factories with direct production capabilities, which aligns with supplier evaluation. Constraints include the need for OEM/ODM options (customization_oem), MOQ flexibility for new businesses (moq_price_constraint), and preference for suppliers with export experience to Pakistan (region_specific).",0
20,"Build a skincare gift set with packaging, bottles, and custom-printed labels; connect to suppliers with cosmetics compliance.",product_development,supplier_evaluation,customization_oem|certification_required,"The user wants to build (develop) a skincare gift set with custom packaging and labels, indicating product development. They need suppliers who can provide cosmetics compliance (supplier evaluation). The requirements for custom-printed labels and packaging indicate customization/oem, and cosmetics compliance indicates certification_required.",0
21,"I am searching for an high quality manufacturer focused on tshirts with multiple printing technques, made in europe with an moq of 100",supplier_sourcing,supplier_evaluation,moq_price_constraint|region_specific|quality_specification,"The user is looking for a manufacturer (supplier_sourcing) of t-shirts in Europe with specific capabilities (multiple printing techniques) and high quality, which involves evaluating suppliers (supplier_evaluation). The requirements include a minimum order quantity of 100 (moq_price_constraint), production in Europe (region_specific), and a focus on high quality and specific printing techniques (quality_specification).",0
22,"I am looking for a manufacturing partner to produce a new performance textile accessory for personal care use. Requirements: High-absorbency fabric (microfiber, terry, or similar) combined with a laminated/water-resistant outer layer. Lightweight, durable, quick-drying, and machine-washable. Ability to prototype small run (500 units) for market testing, with potential to scale quickly to larger volumes (5,000+ units).",supplier_sourcing,supplier_evaluation,moq_price_constraint|quality_specification,"The main goal is to find a manufacturing partner (supplier_sourcing) to produce a new textile accessory with specific material and performance requirements (quality_specification). The user requests a small prototype run (500 units) with the ability to scale to larger volumes, indicating minimum order quantity constraints (moq_price_constraint). The need to assess the manufacturer's ability to prototype and scale implies supplier_evaluation. No explicit mention of certifications, logistics, customization, or region.",0
23,"We are currently seeking a reliable partner for the supply of paraffin wax in granule form, packaged in OPP bags of approximately 200 grams, intended for use in candle-making as part of a new creative project. Product Specifications: Material: Paraffin wax (granules), Packaging: OPP bag, Unit weight: Approx. 200g, End use: Candle production, MOQ required: Multiples of 3,000 pieces. Additional Requirements: To avoid REACH registration, the purchase must be made within the European Union. It is mandatory that the CAS substances involved do not require registration under the REACH regulation (Registration, Evaluation, Authorisation and Restriction of Chemicals). We require the Material Safety Data Sheet (MSDS) for the proposed material.",supplier_sourcing,supplier_evaluation,certification_required|moq_price_constraint|region_specific|quality_specification,"The main goal is to find a reliable supplier for paraffin wax granules with specific packaging and quality requirements. The user needs to evaluate suppliers (supplier_evaluation), ensuring they can meet regulations and provide MSDS. Constraints include needing to avoid REACH registration (certification_required), a specific MOQ (moq_price_constraint), sourcing within the EU (region_specific), and defined product specifications (quality_specification).",1
24,"Help me find additional products for my Intervine brand (intervine.com) that have the best chances of being successful. Right now our top selling product is a lantern (The Internova 2000 Lumen Lantern), but I'd like another product that does as well as that and has a higher profit margin. We already sell flashlights and headlamps, but our lanterns have always provided the highest revenue. I'm open to any type of product that fits in our niche, though, so we can sell to our existing customers. My current budget for a new product is somewhere around $10,000 to perform a test order. I might go as high as double that if it has a lot of potential, but typicall I like to stay at $10,000 or under.",product_discovery,trending_analysis|sales_data|price_comparison|platform_data,moq_price_constraint,"The user is seeking new product ideas to add to their brand, aiming for products with high success potential and higher profit margins, which is classic product discovery. They reference top-selling items, revenue, and profit margin (sales_data, price_comparison), and want products likely to be successful (trending_analysis). The mention of their budget for a test order ($10,000, possibly up to $20,000) is a clear MOQ/price constraint. There is no explicit mention of certifications, logistics, customization, region, or quality specifics. Platform data is relevant as they likely need data from e-commerce platforms to evaluate potential products.",1
25,"Top electronic gadgets with high consumer interest for end-of-year sales in the gadgets and accessories category, excluding VR and AR devices",product_discovery,trending_analysis,,"The query is focused on discovering top electronic gadgets with high consumer interest (i.e., trending products) for a specific sales period in a particular category. It does not mention suppliers, product development, or market research beyond trend analysis. The exclusion of VR and AR devices is a category filter, not a constraint from the taxonomy list.",0
26,"Propose new eco-friendly pet products that solve common pet ownership challenges, have a strong online demand potential, and would be challenging to find locally",product_development,trending_analysis|review_analysis|platform_data,,"The query asks to propose new eco-friendly pet products that solve common challenges, which is about developing or improving products. It also specifies a need for products with strong online demand (trending_analysis), solving pain points (review_analysis), and likely requires insights from online sales channels (platform_data). No explicit constraints such as certification, MOQ, region, or customization are mentioned.",0
27,"Analysis of market opportunities in the European vegan cheese sector, identifying consumer trends and potential growth areas",market_research,trending_analysis,region_specific,"The query is focused on analyzing market opportunities and identifying consumer trends and growth areas, which is characteristic of market research. The specific information need is trending_analysis, as the user is interested in consumer trends and growth potential. The only explicit constraint is the region, as the focus is on the European market.",0
28,"You are an Australian buyer sourcing from two suppliers located in Northern Italy:
● Via S. Rocco, 56, 21010 Cardano al Campo VA, Italy
● Via del Palazzino, 13, 40051 Altedo BO, Italy
You need to ship either a 20ft or 40HQ container to Sydney or Melbourne. As a supply chain expert, evaluate and deliver the following:
1. Assess the optimal POL (Port of Loading) among Genoa, La Spezia, and Marseille Fos.
2. Evaluate the available ocean carriers (for example: Maersk, CMA, MSC).
3. Compare realistic transit times for direct vs transshipment routes.
4. Recommend the best fumigation arrangement.
5. Provide a contingency plan for La Spezia port omission.
6. Estimate doortodoor freight cost (20ft vs 40HQ).
7. Deliver a final stockonhand and shipping plan balancing cost, transit time, reliability, and peakseason risks.",supplier_sourcing,platform_data|price_comparison,logistics_shipping|region_specific,"The main goal is to evaluate and plan the logistics and shipping process for procurement from specific suppliers in Italy to Australia, which falls under supplier_sourcing. The information needs include comparing ocean carriers and transit times (platform_data), and estimating freight costs (price_comparison). Constraints include specific shipping/logistics requirements (container size, port selection, fumigation, contingency planning) and the target region (Australia).",0
29,"A client based in Hawaii, USA, runs a shrimp farm and needs to upgrade their packaging line for frozen shrimp. They need to purchase 2 units of sealing machinery.

● Logistics: The client has regular container departures from China, so these will be shipped via LCL (Less Than Container Load) consolidation.
● Current Pain Point: Local machinery in Hawaii or Amazon US costs around $1,700. The client wants to leverage Chinese manufacturing to find a significant price advantage (Trade Arbitrage).

Client Context & Constraints:
Product: Frozen shrimp.
Packaging: Poly bags, 4-6 mil thickness.
Bag Size: Max size is 14"" (Height) x 8.5"" (Width). Weight is 2lbs or 24oz.
Current Situation: They currently use a machine with a 1/2"" sealing width.


Requirement: Please conduct market research and provide a proposal with two distinct tiers of products:
1. Industrial Grade (High-End): For heavy-duty, 8+ hours continuous use.
2. Commercial Grade (Entry-Level): For small business/lab use, prioritising cost-efficiency
Please write a Sourcing Analysis Report that covers:
Technical Specification Check: What specific type of band sealer is required, given the product is ""frozen shrimp"" (liquid/loose) and the bag is 14"" tall?
Product Comparison: Compare a specific Industrial Model (e.g., QLF series) vs. a Commercial Model (e.g., FR series). Explain the differences in structure, max loading, and working speed/hours.
Printing System Recommendation: Compare Ink Roller vs. Embossing for this specific frozen food application. Which one is better and why?
Price Estimation: Provide estimated FOB China prices for both options to help the client decide.",market_research,price_comparison|platform_data|competitor_analysis|review_analysis,logistics_shipping|moq_price_constraint|quality_specification|region_specific,"The main goal is to conduct market research for suitable sealing machinery for frozen shrimp packaging, comparing product tiers and providing a sourcing analysis. The user requests price estimations, product comparisons, and printing system recommendations (price_comparison, competitor_analysis), wants information likely sourced from Chinese platforms (platform_data), and cares about technical specs and application fit (quality_specification). Constraints include specific logistics (LCL shipping from China), budget (seeking price advantage), technical requirements (bag size, sealing width), and region (client based in Hawaii, USA).",1
30,"I would like to sell customizable cashmere coats for women. The price range would
be in between $999 CAD and $1,199 CAD. Customers can choose from 10 colours;
we customize based on customer's measurements. We plan to sell to U.S.,
Canadian and UK customers. Our primary platform would be Etsy . These coats are
made using premium cashmere-wool blend, with cashmere taking 50% or more of
the fabric content. The coats are handmade. We can also slightly adjust the style
(add pockets, belts, etc.) We want to start small. For the first year, a $10,000 sale
would be desirable. Could you analyze the market to see if there is an openi",market_research,trending_analysis|sales_data|platform_data|competitor_analysis|price_comparison|review_analysis,moq_price_constraint|customization_oem|region_specific|quality_specification,"The query asks for an analysis of the market opportunity for customizable, premium cashmere coats on Etsy, targeting US, Canadian, and UK customers, with a specific price range and product features. This is market research, as the user wants to assess demand, competition, and viability. Information needs include trending analysis (is there demand?), sales data (potential sales/targets), platform data (Etsy-specific), competitor analysis (similar offerings), price comparison (fitting within the specified price range), and review analysis (customer feedback on similar items). Constraints include a price range ($999-$1,199 CAD), customization requirements (custom measurements, style adjustments), region-specific targeting (US, Canada, UK), and quality specifications (premium cashmere-wool blend, handmade, 50%+ cashmere).",1
31,我需要做一个中古风但是有彩色元素的餐边柜，材质可以是实木＋皮质或者板材的结合，面向有较强购买力，对家具审美品味高的独居用户，需要有一定的设计感，帮我出一个产品设计方案,product_development,,customization_oem|quality_specification,"The user is requesting a product design scheme for a sideboard with specific aesthetic, material, and target user requirements, which is product development. There is no explicit request for market, sales, or competitor information, so L2 is empty. The user specifies customization (design, materials, aesthetic) and quality/material requirements, so those constraints are selected.",0
32,"Help me find products suitable for a new seller looking to build their own profitable brand to sell on Amazon and their own website. Their total budget is limited to $5,000 (products, shipping, and marketing combined). Recommend products with unique selling angles so they aren__ competing on price only against identical items.",product_discovery,trending_analysis|platform_data|competitor_analysis,moq_price_constraint,"The main goal is to find (discover) products suitable for a new seller to build a brand, which aligns with product_discovery. The user wants products with unique selling angles (not just competing on price), which implies competitor_analysis. They are selling on Amazon and their own website, indicating a need for platform_data. Since they want profitable, brandable products, trending_analysis is relevant to identify what is likely to succeed. The $5,000 total budget (covering products, shipping, and marketing) is a clear moq_price_constraint.",0
33,"I need to design a girls's halter top that would be perfect for wearing to festivals. It will be crafted of enirely immitation pearls and will fit multiple size so that I don't have to worry about stocking and selling multiple sizes. Ise lightweigh faux pearls, ideally 10mm. Specifications:_ Material: imirtation pearls_ Color: White to off-white with pearlescent qualityCustomization:_ adjustable back to fit multiple sizesDelivery Terms:_ Please quote your lowest MOQ for both regular and sample orders_ Preferred trade terms: FOB or CIF_ Packaging requirements: in individual bags, no branding. I'm interested in both production-scale quantities and R",product_development,price_comparison,moq_price_constraint|customization_oem|quality_specification|logistics_shipping,"The query is centered around designing a new product (girls' halter top made of imitation pearls with specific features), which falls under product_development. The user requests quotes for MOQ and samples, indicating a need for price_comparison. Constraints include requests for lowest MOQ/pricing, product customization (adjustable, specific material, size flexibility, packaging), technical/material specifications (imitation pearls, color, size), and delivery/logistics terms (FOB/CIF, packaging, individual bags).",1
34,"I need to purchase multiple water pumps for a 2004-2005 Acura TSX and I am looking to get it for the best pricing, can you help me fine good quality water pumps and a low price?",product_discovery,price_comparison|platform_data,quality_specification,"The main goal is to find and purchase suitable water pumps (product_discovery). The user is specifically looking for the best pricing (price_comparison) and implicitly needs to know where to source them (platform_data). The mention of 'good quality' indicates a requirement for certain quality or technical standards (quality_specification). There are no explicit mentions of certifications, MOQ, logistics, customization, or region.",0
35,How can i better compete against businesses that are in competition with me for auto parts sales with respect to navigating the tariff pricing to insure I get the best pricing,market_research,competitor_analysis|price_comparison,,"The query focuses on competing against other businesses in auto parts sales, specifically regarding tariff pricing and obtaining the best pricing. This indicates a need to understand competitor strategies (competitor_analysis) and how to optimize pricing (price_comparison). There are no explicit constraints like certifications, MOQ, region, or logistics mentioned.",0
36,"Search for suppliers of organic rosehip oil. Collect data on their certifications, sustainability reports, compliance with EU/FDA standards, production capacity, cost, reputation, and logistics. Score each supplier using a weighted evaluation matrix (as provided). Present the final comparison in a clear table format.",supplier_sourcing,supplier_evaluation|price_comparison,certification_required|logistics_shipping|quality_specification|region_specific,"The main goal is to find and compare suppliers of organic rosehip oil, focusing on their certifications, sustainability, compliance (supplier_evaluation), and cost (price_comparison). The user requests certifications and compliance with EU/FDA standards (certification_required, region_specific), sustainability reports and production capacity (quality_specification), as well as logistics details (logistics_shipping).",1
37,"Provide a list of suppliers of frankincense resin, including potential supply chain risks such as political instability, overharvesting, or logistical issues. Make sure to include trusted suppliers that can provide a formula that may already be on the market and that can be modified to provide a particular experience for our product .",supplier_sourcing,supplier_evaluation,logistics_shipping|customization_oem,The main goal is to find suppliers of frankincense resin (supplier_sourcing). The user requests information on supply chain risks (supplier_evaluation) and specifies the need for trusted suppliers who can provide a formula that can be modified (customization_oem). Mention of logistical issues as part of supply chain risks indicates logistics_shipping as a constraint.,0
38,"I'm starting a brand for women in Africa _ a mirror of ""fenty beauty by rihana"" This would be PeachFans a famine brand that sells everything women and girls. The goal is to have random asorted products in a simple delivery pack and user subscribe to recieve random products or buy individual itemsFirst year; We'll focus on women underwears _ Bed and Bathroom _ Beauty, Skincare and Hair",product_discovery,trending_analysis|platform_data,region_specific,"The user is exploring what products to include in a new brand targeting women in Africa, similar to Fenty Beauty, with a focus on categories like underwear, bed and bathroom, beauty, skincare, and hair. This is primarily about discovering which products to offer (product_discovery). The user would need to know what products are trending (trending_analysis) and likely seeks data from relevant platforms (platform_data). The brand is specifically targeting the African market (region_specific). No other explicit constraints are mentioned.",0
39,"Please determine recommended specifications and material options for an outdoor, full-color interpretive display showing local historical information to be installed in an outdoor Pennsylvania location",product_development,,region_specific|quality_specification,"The query is focused on determining specifications and material options for developing a new outdoor interpretive display, which aligns with product_development. There are no clear requests for trending, sales, review, competitor, price, platform, or supplier information, so L2 is empty. The query specifies the installation will be outdoors in Pennsylvania (region_specific) and requests recommended specifications and material options (quality_specification).",0
40,We are a small business and would like to bring our own product line to elevate our tea brand. We want to find something similar to Hario's call brew bottle since we don't have that product line at this moment. We definitely want to have our own packaging but may or may not put our logo on the bottle itself. Any recommendations?,product_development,competitor_analysis,customization_oem,"The query is about designing a new product line similar to a competitor (Hario's bottle) and includes a desire for custom packaging and possible OEM/private labeling, which fits product development with competitor analysis and customization constraints.",0
41,"请基于阿里巴巴产品链接 https://www.alibaba.com/product-detail/SUN-racing-PCX160-Taiwan-Automatic-Motorcycle_10000028276578.html?spm=a2700.shop_plfe.41413.14.3cf95f55S4f2Rq 中的SUN racing PCX160台湾自动摩托车产品信息，制作一份专业的B2B产品详情页面。

具体要求：
1. 产品优势提炼：
- 从链接页面提取核心技术参数（引擎规格、性能数据、燃油效率等）
- 突出产品独特卖点（台湾制造品质、自动变速系统、运动化设计等）
- 量化产品优势（具体数值、认证标准、性能对比）

2. B2B页面结构：
- 产品标题：包含品牌、型号、核心特征
- 产品图片：高清产品图、细节图、使用场景图
- 技术规格表：详细参数对比表格
- 产品优势：3-5个核心卖点，每个配具体说明
- 质量认证：相关行业认证和标准
- 包装运输：包装规格、起订量、交货期

3. 全球代理商招募板块：
- 招募标题：\""全球优质代理商招募计划\""
- 代理商要求：具体的资质要求、销售能力、地区覆盖范围
- 合作优势：代理商可获得的支持政策、价格优势、技术支持
- 申请流程：明确的3-5步申请步骤
- 联系方式：专门的代理商咨询联系信息

4. 商机转化要素：
- 明确的CTA按钮（\""立即询价\""、\""申请代理\""、\""索取样品\""）
- 紧迫感元素（限时优惠、首批代理商特殊政策）
- 信任建立（公司资质、生产实力、成功案例）

请确保内容专业、数据准确、表述简洁有力，符合B2B采购决策习惯。",product_development,platform_data|sales_data|review_analysis|price_comparison|supplier_evaluation,certification_required|moq_price_constraint|logistics_shipping|region_specific|quality_specification,"The main goal is to create a professional B2B product detail page, which is a product development activity involving structuring and presenting product information for business buyers. The query requests extraction and synthesis of platform data (from Alibaba), product specifications (sales_data), selling points (review_analysis), price/MOQ/shipping info (price_comparison, moq_price_constraint, logistics_shipping), supplier qualifications (supplier_evaluation), industry certifications (certification_required), and region/agency requirements (region_specific, quality_specification).",1
